grid_o,grid_d,i_raw,j_raw,tau_ij,tau_ji,tau_ff_ij,tau_ff_ji,tau_sym,lanes_ij,lanes_ji,xi_ij,xi_ji,xi_sym_ij,xi_sym_ji,asym_ratio,rank
sq_7_47,sq_8_47,3247,3295,44.43216828573344,3.010859970897172,15.172358808151907,3.2256742840248345,23.721514128315306,4.0,4.0,36.165837052700645,4.0,9.995026962977542,238.62701627824453,14.757301473735959,1
sq_26_39,sq_26_40,888,890,3.6130035125312423,45.11643262386066,3.606296632644823,5.087272496754642,24.364718068195952,5.074979316177725,3.6317138227225616,5.0943389459673805,317.9996804280079,254.47145905256005,89.97474276423104,12.48723740992226,2
sq_28_35,sq_29_35,985,1041,5.0856836818949285,51.09456087848643,6.361220908735235,4.913242780870569,28.09012228019068,2.0,2.0,2.0,242.69431249746384,41.954471816450734,71.22614380848347,10.046743776138388,3
sq_32_31,sq_33_31,1232,1296,6.789081513867952,57.92636406793721,5.126116946089313,5.919707542578521,32.35772279090258,4.0,4.0,7.113873284025971,428.4783480248716,174.49880243728057,129.92556672733738,8.532282894175289,4
sq_23_45,sq_23_46,743,744,6.181811449938029,40.92182945550225,4.998148417484407,6.289223483954401,23.55182045272014,2.0,2.0,3.09159700414354,92.84258775174303,47.92582679628842,29.92858985795512,6.619714914778334,5
sq_6_22,sq_7_22,3107,3221,21.48497616693333,3.367714473779945,5.353173622497632,3.0739690787463383,12.426345320356637,4.0,4.0,68.99038540960774,4.822595417344058,22.465236407452565,70.01366071474575,6.379690539150265,6
sq_21_39,sq_21_40,635,637,3.6121443501390624,23.00292255397718,3.738828958236898,4.0243740892204976,13.30753345205812,4.867052953698563,4.816023474853416,4.867052953698563,171.43189025083467,65.63056929033861,55.851039938171255,6.368217968114037,7
sq_26_40,sq_27_40,890,941,3.749394746623447,23.855467239095617,3.5376326052263622,4.774590809174517,13.802430992859533,4.554169064059106,2.248030608431067,5.130358955524647,60.73872653805897,74.12630963451879,19.79311556162972,6.36248484120774,8
sq_27_36,sq_28_36,936,986,6.2432821220347625,38.347999834203314,6.306025466260256,5.13980428912126,22.29564097811904,4.0,4.0,4.0,245.79704649989435,53.2061858192142,80.89991494116785,6.142282069692092,9
sq_21_36,sq_22_36,632,683,38.00863887674058,6.358314517199243,6.380431090700851,6.325831052257657,22.183476696969908,2.9834234789819227,3.076449761268916,115.58349838534025,3.10890936333834,38.34329855990674,40.241376274804246,5.977785272170352,10
sq_12_39,sq_13_39,143,196,30.841091188193325,5.931818990483033,5.529442281448792,4.94676768354154,18.386455089338178,4.0,4.0,135.41518935676996,5.803251812760436,46.9198331381395,58.94601343319892,5.19926370606968,11
sq_21_35,sq_22_35,631,682,32.83599653234367,6.5652097632793645,6.8297887134887505,5.576559246014291,19.700603147811517,2.203605646093699,3.975973023843666,55.02472980244422,5.555127298269296,19.315452593768253,52.79906358582928,5.001515216772279,12
sq_20_38,sq_21_38,584,634,23.789809338362794,4.886371326837492,3.985486683474027,3.518710900258688,14.338090332600142,4.879816346322592,5.006374195566953,189.83756910971428,9.811656262578591,67.26174477153157,89.07258514164643,4.868604481141591,13
sq_29_34,sq_29_35,1040,1041,32.67701930012974,6.8773486152088665,5.640568583701387,6.887176838349378,19.777183957669305,2.0,2.0,73.17954926009106,2.0,26.15222358911611,17.370290575702658,4.751397831988096,14
sq_21_41,sq_22_41,638,689,19.24931485453714,4.565691351069797,4.441621512000665,3.0620578709384465,11.907503102803469,4.97971654805782,5.999999999999999,100.5249204891471,13.60410609038954,37.56867195736929,97.00023474157966,4.216078874895209,15
sq_25_30,sq_26_30,829,879,5.956987843390718,25.00579295087777,4.418454101452731,5.450460111313043,15.481390397134243,3.338813717038008,2.493341697416654,6.158662165691737,56.563308273882214,43.596543177807646,21.175448286746207,4.1977243547041505,16
sq_26_30,sq_26_31,879,880,29.140304031604487,7.014366164669381,3.4920822892381578,4.696741729579029,18.077335098136935,2.9106682925804157,2.0437204670684466,224.97132214373954,4.649131278901264,84.56872909392145,32.350727705310085,4.154374514746765,17
sq_26_31,sq_27_31,880,931,28.13999071662542,6.7910797790803965,5.319823002599152,5.284323624371822,17.46553524785291,2.0452065972084092,2.3640867298437995,62.11108047008702,3.952941840086398,23.37209644105252,27.389395508652495,4.143669583047654,18
sq_25_30,sq_25_31,829,830,31.398066861018155,7.607878502574247,6.438321570254058,5.965366558599643,19.5029726817962,2.0,2.0,51.42010487258685,3.292134760864414,19.380196140905024,22.65994452591399,4.127046304747654,19
sq_28_41,sq_28_42,992,993,8.355566027192486,34.099298774842126,6.970395815686963,6.6363243039664095,21.227432401017307,3.446081231850773,2.288780134656734,4.996130563107828,65.4934735483123,33.75912160841397,24.795815148739226,4.081027983486556,20
sq_15_35,sq_15_36,304,305,4.467009531598882,18.180671089849472,3.6251167745345567,3.5181629970503696,11.323840310724178,2.860217312966206,3.713405050380594,4.387823921386694,107.5078709069044,29.516891578745827,40.74700034257547,4.069987082239791,21
sq_24_38,sq_25_38,786,837,6.083135956115559,24.383259562810498,5.511311872453818,5.677449881741412,15.233197759463028,2.9881568908040275,3.1720893545482367,3.6581116144168577,62.85653526018792,23.99885221361176,23.971847195393888,4.008337104203183,22
sq_21_34,sq_22_34,630,681,30.432362472040648,7.646292580673427,7.099815210276259,7.15809344043487,19.039327526357038,2.061234955522907,2.282769028114231,40.68094848649415,2.613233758587322,15.559860347382907,16.94591117838395,3.980015432441168,23
sq_37_46,sq_37_47,1547,1548,5.727074191025048,22.465247732782174,5.427188019808914,5.724421288722913,14.09616096190361,4.0,4.0,4.466060744911187,65.89030468149056,28.2812421551489,25.353982376102433,3.922639550922472,24
sq_31_37,sq_32_37,1174,1238,6.853762189412711,26.69321362985134,6.392483567694811,6.230724275431017,16.773487909632024,2.0,2.0,2.306943644106321,39.43027902844797,14.439155658775649,15.21778357034014,3.894680453180218,25
sq_26_33,sq_26_34,882,883,5.7062870877596055,22.04280894457715,5.5664975848605405,6.902313338495619,13.874548016168378,2.0,2.0,2.1042771113209167,21.5960737788305,12.99601976027259,8.363556728947959,3.8628986949956574,26
sq_28_36,sq_29_36,986,1042,5.8146012132448135,22.42506102972809,5.8284096071144615,5.988550603850319,14.119831121486452,3.044105859928005,3.0,3.044105859928005,44.88959222135916,18.660256703288418,17.39629913025427,3.856680829400144,27
sq_10_23,sq_11_23,20,72,6.6661220971748945,25.462343363847612,5.000216608189278,5.30500849468396,16.064232730511254,2.0,2.0,3.6052944916661778,49.76875912709886,21.862530285045985,19.3660965809733,3.819663515410041,28
sq_23_44,sq_23_45,742,743,6.947938472301195,26.467208225295593,6.639599499138245,5.854079481575137,16.707573348798395,4.0,4.0,4.3899310291315485,88.06116295317075,26.50409933580522,34.30590885737737,3.8093613423334634,29
sq_25_39,sq_25_40,838,840,6.621281903543725,24.913785491078865,5.78852919577118,6.416531949463697,15.767533697311295,2.0,2.0,2.634198763898277,32.2316680807051,15.589210969838321,12.622922840162875,3.7626830958133577,30
sq_24_40,sq_24_41,789,790,5.310483633304868,19.47372614459812,5.12346829113182,5.779536396094733,12.392104888951494,4.0,4.0,4.304926828282102,48.20781877408415,24.43918326097709,19.092167352717578,3.6670343963529093,31
sq_34_36,sq_35_36,1363,1422,5.56833097533293,20.339188429646185,5.459466365819457,4.953845025114837,12.953759702489558,4.0,4.0,4.165157211373608,72.27850802056298,23.496651654645,28.67459734247337,3.6526543626351353,32
sq_21_39,sq_22_39,635,686,19.073917797217764,5.223557338388805,5.4645899511429015,6.549684187602436,12.148737567803284,3.127212159342575,3.19731717352221,40.51549337358671,3.19731717352221,16.075658181568738,11.339735247297568,3.6515187948719006,33
sq_22_47,sq_23_47,695,745,5.276898594019531,19.263060140243173,4.6436843127365615,5.097173778680861,12.269979367131352,2.0,2.0,2.598917029930073,30.49426659906465,14.646891212034227,12.101014541016069,3.6504510740597857,34
sq_14_42,sq_15_42,256,312,33.80928733336863,9.316556368380756,8.172287835434531,8.453968039920609,21.562921850874694,2.0,2.0,36.70657403086001,2.4405897278143933,14.60429920528925,13.624577490689406,3.628946790695453,35
